Geneid,sorted.step1.CH8_hisat2_B20_C.bam,sorted.step1.CH36_hisat2_B20_C.bam,sorted.step1.CH64_hisat2_B20_C.bam,sorted.step1.CH5_hisat2_B20_EAB.bam,sorted.step1.CH33_hisat2_B20_EAB.bam,sorted.step1.CH125_hisat2_B20_EAB.bam
FRAEX38873_v2_000000010,467,277,393,383,471,529
FRAEX38873_v2_000000020,470,506,608,525,464,614
FRAEX38873_v2_000000030,394,451,628,459,613,564
FRAEX38873_v2_000000040,82,372,96,45,45,19
FRAEX38873_v2_000000050,317,379,355,530,1001,1014
FRAEX38873_v2_000000060,276,279,370,463,539,502
FRAEX38873_v2_000000070,465,434,575,598,541,825
FRAEX38873_v2_000000080,1171,1096,1052,1051,1265,1269
FRAEX38873_v2_000000090,269,216,243,236,273,137
FRAEX38873_v2_000000100,356,448,397,458,381,265
FRAEX38873_v2_000000110,1494,1594,1809,1449,1269,1146
FRAEX38873_v2_000000120,71,103,106,404,441,464
FRAEX38873_v2_000000130,0,0,0,0,0,0
FRAEX38873_v2_000000140,3,29,2,4,2,13
FRAEX38873_v2_000000150,57,22,43,48,4,19
FRAEX38873_v2_000000160,35,34,45,36,10,8
FRAEX38873_v2_000000170,0,0,37,2,0,14
FRAEX38873_v2_000000180,6,7,45,8,6,25
FRAEX38873_v2_000000190,0,0,0,0,0,0
FRAEX38873_v2_000000200,0,0,0,0,0,0
FRAEX38873_v2_000000210,0,0,0,0,0,0
FRAEX38873_v2_000000220,0,0,0,0,0,0
FRAEX38873_v2_000000230,0,0,0,0,0,0
FRAEX38873_v2_000000240,1356,1034,1693,1617,1000,1207
FRAEX38873_v2_000000250,387,567,576,683,499,734
FRAEX38873_v2_000000260,39,39,29,31,25,27
FRAEX38873_v2_000000270,1,11,0,0,0,0
FRAEX38873_v2_000000280,2656,2814,2345,3518,4935,4139
FRAEX38873_v2_000000290,7,9,4,27,6,64
FRAEX38873_v2_000000300,1088,358,104,278,64,75
FRAEX38873_v2_000000310,2696,2550,2258,3095,3990,2722
FRAEX38873_v2_000000320,4064,3931,6143,3452,2089,2068
FRAEX38873_v2_000000330,1,25,14,36,60,175
FRAEX38873_v2_000000340,528,605,889,973,657,823
FRAEX38873_v2_000000350,1,7,13,0,0,0
FRAEX38873_v2_000000360,0,0,0,0,0,0
FRAEX38873_v2_000000370,4559,2172,1630,2214,1297,1011
FRAEX38873_v2_000000380,0,0,0,0,0,0
FRAEX38873_v2_000000390,55,35,59,66,85,70
FRAEX38873_v2_000000400,0,0,0,0,0,0
FRAEX38873_v2_000000410,1031,720,1285,1220,899,958
FRAEX38873_v2_000000420,423,292,361,848,869,1279
FRAEX38873_v2_000000430,267,105,189,305,196,254
FRAEX38873_v2_000000440,63,58,103,57,10,103
FRAEX38873_v2_000000450,0,0,0,0,0,0
FRAEX38873_v2_000000460,33,44,23,195,116,51
FRAEX38873_v2_000000470,3,38,69,189,66,249
FRAEX38873_v2_000000480,231,237,243,300,260,184
FRAEX38873_v2_000400370,122,374,74,141,117,52
FRAEX38873_v2_000400380,20,14,21,30,20,21
FRAEX38873_v2_000400390,15,22,12,15,22,13
FRAEX38873_v2_000400400,8,36,15,18,19,7
FRAEX38873_v2_000400410,138,84,24,50,57,28
FRAEX38873_v2_000400420,7,3,3,4,3,3
FRAEX38873_v2_000400430,102,177,45,144,149,54
FRAEX38873_v2_000400440,38,60,6,25,50,20
FRAEX38873_v2_000400450,1,5,0,0,2,0
FRAEX38873_v2_000400460,25,51,18,37,7,9
FRAEX38873_v2_000400470,3,10,7,18,21,1
FRAEX38873_v2_000400480,9,10,0,7,26,9
FRAEX38873_v2_000400490,10,9,3,4,14,5
FRAEX38873_v2_000400500,0,6,0,0,2,2
FRAEX38873_v2_000400510,32,52,5,35,47,24
FRAEX38873_v2_000400520,169,603,106,167,257,123
FRAEX38873_v2_000400530,23,70,21,40,110,23
FRAEX38873_v2_000400540,13,46,11,18,24,10
FRAEX38873_v2_000400550,11,47,6,20,33,18
FRAEX38873_v2_000400560,0,0,0,0,0,0
FRAEX38873_v2_000400570,258,188,195,276,458,354
FRAEX38873_v2_000400580,0,0,0,0,0,0
FRAEX38873_v2_000400590,0,0,0,0,0,0
FRAEX38873_v2_000400600,0,0,0,0,0,0
FRAEX38873_v2_000400610,0,0,0,0,0,0
FRAEX38873_v2_000400620,0,0,0,0,0,0
