Geneid;c1;c2;c3;t1;t2;t3
FRAEX38873_v2_000000010;341;411;353;412;392;475
FRAEX38873_v2_000000020;440;837;726;843;391;731
FRAEX38873_v2_000000030;453;813;554;1592;1009;1245
FRAEX38873_v2_000000040;125;673;154;230;63;43
FRAEX38873_v2_000000050;379;451;423;553;724;927
FRAEX38873_v2_000000060;352;448;274;383;481;522
FRAEX38873_v2_000000070;828;470;598;529;399;550
FRAEX38873_v2_000000080;2323;2017;2429;2316;2392;1480
FRAEX38873_v2_000000090;143;150;137;239;218;272
FRAEX38873_v2_000000100;275;244;322;376;251;233
FRAEX38873_v2_000000110;1530;1611;1478;854;769;951
FRAEX38873_v2_000000120;213;139;170;188;149;478
FRAEX38873_v2_000000130;0;0;0;0;0;0
FRAEX38873_v2_000000140;4;12;3;6;0;0
FRAEX38873_v2_000000150;29;22;14;11;6;11
FRAEX38873_v2_000000160;41;23;41;17;21;21
FRAEX38873_v2_000000170;0;4;4;0;0;0
FRAEX38873_v2_000000180;74;88;29;41;16;23
FRAEX38873_v2_000000190;0;0;0;0;0;0
FRAEX38873_v2_000000200;0;0;0;0;0;0
FRAEX38873_v2_000000210;0;0;0;0;0;0
FRAEX38873_v2_000000220;0;4;0;0;0;0
FRAEX38873_v2_000000230;0;0;0;0;0;0
FRAEX38873_v2_000000240;1912;1801;1515;692;751;898
FRAEX38873_v2_000000250;937;768;764;695;856;653
FRAEX38873_v2_000000260;0;0;0;0;0;0
FRAEX38873_v2_000000270;0;0;0;0;0;0
FRAEX38873_v2_000000280;3134;3371;3523;3344;3401;3852
FRAEX38873_v2_000000290;0;4;86;329;412;19
FRAEX38873_v2_000000300;54;88;344;803;720;177
FRAEX38873_v2_000000310;2109;2785;2352;1991;2817;2335
FRAEX38873_v2_000000320;3641;2985;4380;3753;2389;2331
FRAEX38873_v2_000000330;10;11;0;52;102;264
FRAEX38873_v2_000000340;448;345;416;1088;1536;682
FRAEX38873_v2_000000350;0;0;4;11;74;0
FRAEX38873_v2_000000360;0;0;0;0;0;0
FRAEX38873_v2_000000370;1276;1727;5407;1140;602;404
FRAEX38873_v2_000000380;0;0;0;5;0;0
FRAEX38873_v2_000000390;26;56;58;54;60;51
FRAEX38873_v2_000000400;19;17;24;25;14;4
FRAEX38873_v2_000000410;624;628;521;770;713;777
FRAEX38873_v2_000000420;750;739;577;392;924;625
FRAEX38873_v2_000000430;200;144;157;151;172;213
FRAEX38873_v2_000000440;89;48;81;6;8;20
FRAEX38873_v2_000000450;0;0;0;0;0;0
FRAEX38873_v2_000000460;5;20;10;62;8;192
FRAEX38873_v2_000000470;0;4;50;89;58;227
FRAEX38873_v2_000000480;63;139;322;15;2;356
FRAEX38873_v2_000400370;413;134;203;57;52;47
FRAEX38873_v2_000400380;20;102;64;5;26;15
FRAEX38873_v2_000400390;39;42;36;28;33;17
FRAEX38873_v2_000400400;14;32;31;6;10;3
FRAEX38873_v2_000400410;25;76;32;8;15;22
FRAEX38873_v2_000400420;0;20;5;0;4;0
FRAEX38873_v2_000400430;74;169;85;50;70;61
FRAEX38873_v2_000400440;34;69;25;17;17;13
FRAEX38873_v2_000400450;14;5;0;4;0;3
FRAEX38873_v2_000400460;31;24;39;5;7;5
FRAEX38873_v2_000400470;16;26;11;15;3;19
FRAEX38873_v2_000400480;6;17;4;7;2;9
FRAEX38873_v2_000400490;34;29;23;26;6;11
FRAEX38873_v2_000400500;10;4;2;0;0;0
FRAEX38873_v2_000400510;27;28;44;25;13;27
FRAEX38873_v2_000400520;218;211;116;114;124;84
FRAEX38873_v2_000400530;48;86;56;30;34;24
FRAEX38873_v2_000400540;18;34;6;22;15;1
FRAEX38873_v2_000400550;31;50;24;2;7;16
FRAEX38873_v2_000400560;0;0;0;0;0;0
FRAEX38873_v2_000400570;160;127;186;203;213;315
FRAEX38873_v2_000400580;0;0;0;0;0;0
FRAEX38873_v2_000400590;0;0;0;0;0;0
FRAEX38873_v2_000400600;0;0;0;0;0;0
FRAEX38873_v2_000400610;0;0;0;0;0;0
FRAEX38873_v2_000400620;0;0;0;0;0;0
FRAEX38873_v2_000400630;0;0;0;0;0;0
FRAEX38873_v2_000400640;0;0;0;0;0;0
FRAEX38873_v2_000400650;0;0;0;0;0;0
FRAEX38873_v2_000400660;1;0;12;0;0;0
FRAEX38873_v2_000400670;1;0;0;1;1;2
FRAEX38873_v2_000400680;0;0;1;0;0;0
FRAEX38873_v2_000400690;0;2;0;0;0;0
FRAEX38873_v2_000400700;0;14;4;0;0;5
FRAEX38873_v2_000400710;0;0;0;0;0;0
FRAEX38873_v2_000400720;0;20;12;7;3;4
FRAEX38873_v2_000400730;0;1;0;0;0;0
FRAEX38873_v2_000400740;0;0;0;0;0;0
FRAEX38873_v2_000400750;0;0;0;0;0;0
FRAEX38873_v2_000400760;0;0;0;0;0;0
FRAEX38873_v2_000400770;0;0;0;0;0;0
FRAEX38873_v2_000400780;0;0;0;0;0;0
FRAEX38873_v2_000400790;0;0;0;0;0;0
FRAEX38873_v2_000400800;0;8;19;11;11;0
FRAEX38873_v2_000000490;18;11;10;6;6;1
FRAEX38873_v2_000000500;0;0;0;0;0;0
FRAEX38873_v2_000000510;0;0;1;5;0;1
FRAEX38873_v2_000000520;116;98;27;78;48;84
FRAEX38873_v2_000000530;3;4;1;4;4;2
FRAEX38873_v2_000000540;1079;1104;1020;1150;1086;1087
FRAEX38873_v2_000000550;0;0;0;2;0;0
FRAEX38873_v2_000000560;320;536;358;1164;1426;1311
FRAEX38873_v2_000000570;0;0;9;2;0;0
FRAEX38873_v2_000000580;0;0;0;0;0;0
FRAEX38873_v2_000000590;0;0;4;51;15;113
FRAEX38873_v2_000000600;1351;1411;1429;1732;1710;1904
FRAEX38873_v2_000000610;147;79;85;223;176;137
FRAEX38873_v2_000000630;0;4;0;19;6;24
FRAEX38873_v2_000000640;977;836;610;625;917;759
FRAEX38873_v2_000000650;1124;1123;1897;1356;813;1016
FRAEX38873_v2_000000660;6187;9907;20119;3951;194;192
FRAEX38873_v2_000000670;683;651;595;607;646;790
FRAEX38873_v2_000000680;0;0;0;0;0;0
FRAEX38873_v2_000000690;974;799;913;1580;1310;1289
FRAEX38873_v2_000000700;30;36;16;46;22;22
FRAEX38873_v2_000000720;0;0;2;8;10;9
FRAEX38873_v2_000000730;4;7;3;140;260;99
FRAEX38873_v2_000000740;324;355;367;368;324;230
FRAEX38873_v2_000000760;1;0;1;10;17;20
FRAEX38873_v2_000000770;85;252;124;70;92;123
FRAEX38873_v2_000000780;139;302;201;1927;2271;1444
FRAEX38873_v2_000000790;390;215;150;264;262;346
FRAEX38873_v2_000000800;0;19;27;4;3;54
FRAEX38873_v2_000000810;1;7;8;5;19;4
FRAEX38873_v2_000000820;121;748;745;321;92;1689
FRAEX38873_v2_000000830;0;0;0;0;0;0
FRAEX38873_v2_000000850;183;186;228;298;68;117
FRAEX38873_v2_000000860;1534;1555;1491;1572;2435;2567
FRAEX38873_v2_000000870;5301;5838;6299;5982;5237;5503
FRAEX38873_v2_000000880;680;533;486;264;278;354
FRAEX38873_v2_000000890;0;1;3;1;0;5
FRAEX38873_v2_000000900;217;431;265;1012;1245;999
FRAEX38873_v2_000400810;39;98;48;27;45;27
FRAEX38873_v2_000400820;5;39;22;17;16;16
FRAEX38873_v2_000400830;5;24;8;16;18;21
FRAEX38873_v2_000400840;0;0;0;0;0;0
FRAEX38873_v2_000400850;49;248;62;128;90;62
FRAEX38873_v2_000400860;0;5;0;0;1;0
FRAEX38873_v2_000400870;0;0;0;0;0;0
FRAEX38873_v2_000400880;127;303;144;228;385;272
FRAEX38873_v2_000400890;537;1507;590;1395;1041;1223
FRAEX38873_v2_000400900;826;1909;715;1507;1388;1442
FRAEX38873_v2_000400910;51;171;31;50;42;36
FRAEX38873_v2_000400920;7;14;13;1;6;6
FRAEX38873_v2_000401030;0;5;7;4;0;4
FRAEX38873_v2_000401040;3;23;7;20;21;8
FRAEX38873_v2_000401050;30;137;40;44;52;46
FRAEX38873_v2_000401060;107;360;129;69;50;55
FRAEX38873_v2_000090760;11;17;197;968;1875;176
FRAEX38873_v2_000090770;63;59;55;72;47;83
FRAEX38873_v2_000090780;0;13;125;806;1699;122
FRAEX38873_v2_000090790;8;60;117;155;92;106
FRAEX38873_v2_000090800;0;3;0;82;21;23
FRAEX38873_v2_000090810;0;2;15;14;5;11
FRAEX38873_v2_000090820;7;15;3;35;384;5
FRAEX38873_v2_000090830;783;860;932;482;463;508
FRAEX38873_v2_000090840;4;14;41;58;38;87
FRAEX38873_v2_000090850;102;132;88;229;122;347
FRAEX38873_v2_000090860;0;0;0;31;156;354
FRAEX38873_v2_000090870;1552;1334;1534;3108;3767;4702
FRAEX38873_v2_000090880;280;331;360;285;179;217
FRAEX38873_v2_000090890;7;68;45;61;51;152
FRAEX38873_v2_000090900;105;146;148;151;119;158
FRAEX38873_v2_000162390;1362;1143;1244;2932;2584;2048
FRAEX38873_v2_000162400;957;924;889;775;662;615
FRAEX38873_v2_000162410;2333;2037;2005;2204;3369;3331
FRAEX38873_v2_000162420;16;53;85;90;22;111
FRAEX38873_v2_000162430;270;620;730;418;152;257
FRAEX38873_v2_000162440;248;194;141;172;155;116
FRAEX38873_v2_000162450;0;1;0;0;0;0
FRAEX38873_v2_000162460;0;0;76;17;38;51
FRAEX38873_v2_000162470;1784;1667;1900;712;561;665
FRAEX38873_v2_000162480;16;20;11;36;52;31
FRAEX38873_v2_000162490;0;2;21;0;0;0
FRAEX38873_v2_000162500;3;7;10;7;1;1
FRAEX38873_v2_000162510;0;0;0;584;374;56
FRAEX38873_v2_000162520;0;6;62;368;1700;414
FRAEX38873_v2_000162530;850;890;698;1067;1133;1078
FRAEX38873_v2_000162540;0;11;3;32;38;47
FRAEX38873_v2_000162550;66;87;63;50;47;15
FRAEX38873_v2_000162560;304;274;532;469;488;413
FRAEX38873_v2_000162570;253;93;157;210;306;228
FRAEX38873_v2_000162580;78;110;484;540;2974;1079
FRAEX38873_v2_000162590;1508;1773;1697;2169;1103;1252
FRAEX38873_v2_000162600;0;0;0;5;0;0
FRAEX38873_v2_000162610;0;6;19;9;11;9
FRAEX38873_v2_000162620;96;173;140;167;145;101
FRAEX38873_v2_000162630;310;361;604;1221;1460;1422
FRAEX38873_v2_000162640;55;95;88;181;74;56
FRAEX38873_v2_000162650;22805;20726;15576;5940;7180;5489
FRAEX38873_v2_000162660;8;22;45;75;103;82
FRAEX38873_v2_000162670;1027;991;1095;1250;1046;1283
FRAEX38873_v2_000162680;883;968;777;493;426;587
FRAEX38873_v2_000162690;2;1;0;1;0;0
FRAEX38873_v2_000162700;18;22;5;78;57;91
FRAEX38873_v2_000162710;62;42;73;67;98;92
FRAEX38873_v2_000217040;3;0;0;7;7;6
FRAEX38873_v2_000217050;334;401;418;231;325;351
FRAEX38873_v2_000217060;0;0;2;0;0;0
FRAEX38873_v2_000217070;171;98;179;149;220;165
FRAEX38873_v2_000217080;0;1;0;0;0;5
FRAEX38873_v2_000217090;2536;1998;2156;3241;3813;2269
FRAEX38873_v2_000217100;76;112;69;71;78;69
FRAEX38873_v2_000217110;24;115;93;509;598;404
FRAEX38873_v2_000217120;388;507;411;520;507;401
FRAEX38873_v2_000217130;513;851;641;1071;1279;725
FRAEX38873_v2_000217140;790;650;581;313;438;406
FRAEX38873_v2_000217150;592;649;582;400;383;407
FRAEX38873_v2_000217160;393;368;350;277;220;251
FRAEX38873_v2_000217170;71;48;30;32;31;34
FRAEX38873_v2_000217180;40;54;34;31;90;22
FRAEX38873_v2_000217190;588;535;498;734;937;670
FRAEX38873_v2_000217200;0;0;0;0;0;0
FRAEX38873_v2_000217210;1867;1841;1747;1026;997;1028
FRAEX38873_v2_000217220;71;54;64;679;1111;153
FRAEX38873_v2_000217230;11;11;18;76;13;23
FRAEX38873_v2_000401130;6;9;1;9;3;7
FRAEX38873_v2_000401140;0;0;0;0;0;0
FRAEX38873_v2_000401150;159;235;124;71;119;103
FRAEX38873_v2_000401160;334;452;295;150;142;137
FRAEX38873_v2_000401170;27;59;14;7;3;16
FRAEX38873_v2_000401180;0;0;0;0;0;3
FRAEX38873_v2_000401190;96;181;68;47;51;67
FRAEX38873_v2_000401200;274;798;204;266;220;186
FRAEX38873_v2_000401210;0;1;0;7;0;0
FRAEX38873_v2_000401220;0;7;0;3;2;0
FRAEX38873_v2_000259040;187;157;149;231;184;366
FRAEX38873_v2_000259050;0;0;0;0;0;0
FRAEX38873_v2_000259060;636;479;628;230;239;327
FRAEX38873_v2_000259070;0;0;0;0;0;0
FRAEX38873_v2_000259080;0;0;0;0;0;0
FRAEX38873_v2_000259090;32;29;2;0;1;0
FRAEX38873_v2_000259100;170;573;471;799;681;1617
FRAEX38873_v2_000259110;41;88;133;191;141;281
FRAEX38873_v2_000259120;0;0;0;0;0;0
FRAEX38873_v2_000259130;0;9;3;0;2;11
FRAEX38873_v2_000259140;0;0;1;0;0;0
FRAEX38873_v2_000259150;846;917;895;746;816;697
FRAEX38873_v2_000259160;372;249;104;536;538;259
FRAEX38873_v2_000259170;0;0;0;0;0;0
FRAEX38873_v2_000401230;0;0;0;0;0;0
FRAEX38873_v2_000401240;0;0;0;0;0;1
FRAEX38873_v2_000300100;4;0;0;0;2;1
FRAEX38873_v2_000300110;5;22;7;21;7;32
FRAEX38873_v2_000300120;1442;1212;1615;2301;2290;1213
FRAEX38873_v2_000300140;0;0;0;0;0;0
FRAEX38873_v2_000300150;0;0;0;0;0;0
FRAEX38873_v2_000300160;125;172;180;162;172;209
FRAEX38873_v2_000300170;191;192;106;248;202;301
FRAEX38873_v2_000300180;0;0;0;2;0;0
FRAEX38873_v2_000300190;178;157;221;77;13;40
FRAEX38873_v2_000300200;28;20;36;20;12;47
FRAEX38873_v2_000300210;57;35;15;5;6;17
FRAEX38873_v2_000300220;6779;16833;11632;18253;31385;18482
FRAEX38873_v2_000300230;813;869;716;989;809;785
FRAEX38873_v2_000300240;85;141;153;172;173;257
FRAEX38873_v2_000300250;211;198;209;206;271;167
FRAEX38873_v2_000300270;1091;693;1139;749;838;728
FRAEX38873_v2_000300280;3719;3071;3242;3502;3075;4031
FRAEX38873_v2_000300290;25;8;3;24;19;15
FRAEX38873_v2_000300300;0;0;0;0;0;0
FRAEX38873_v2_000300310;84;180;75;101;88;381
FRAEX38873_v2_000300320;0;0;0;2;0;5
FRAEX38873_v2_000300330;130;67;14;93;233;77
FRAEX38873_v2_000300340;329;315;184;467;429;164
FRAEX38873_v2_000300350;111;67;115;205;247;297
FRAEX38873_v2_000300360;465;548;465;357;413;524
FRAEX38873_v2_000300370;395;270;832;1719;133;2004
FRAEX38873_v2_000300380;5578;4658;4683;4857;6217;5130
FRAEX38873_v2_000300390;587;452;497;555;684;652
FRAEX38873_v2_000300400;27;230;91;34;1;15
FRAEX38873_v2_000300410;426;303;241;31;1;9
FRAEX38873_v2_000300420;36;79;42;289;199;447
FRAEX38873_v2_000300430;2067;3026;2750;1662;1713;1895
FRAEX38873_v2_000300440;4897;11823;21157;19642;2495;14580
FRAEX38873_v2_000300450;184;285;272;307;290;278
FRAEX38873_v2_000300460;2640;2580;2619;3591;3947;4360
FRAEX38873_v2_000300470;2;2;0;1;0;0
FRAEX38873_v2_000300480;2185;1615;2288;2057;2040;2079
FRAEX38873_v2_000300490;416;422;550;491;291;452
FRAEX38873_v2_000300500;1509;1427;1774;1757;2048;1563
FRAEX38873_v2_000300510;1601;1299;1427;613;442;613
FRAEX38873_v2_000300520;556;640;506;444;516;506
FRAEX38873_v2_000300530;0;0;0;98;233;41
FRAEX38873_v2_000300540;1994;1864;1958;3098;3530;3283
FRAEX38873_v2_000300550;247;27;80;27;18;25
FRAEX38873_v2_000328590;0;11;11;10;1;1
FRAEX38873_v2_000328610;1664;1961;1894;1607;1416;1902
FRAEX38873_v2_000328620;3580;1582;1356;5358;2816;2521
FRAEX38873_v2_000328630;3137;3674;3830;2113;2422;2124
FRAEX38873_v2_000328640;245;268;272;1683;684;947
FRAEX38873_v2_000328650;256;250;390;403;289;207
FRAEX38873_v2_000328660;3;0;2;0;5;0
FRAEX38873_v2_000328670;32;0;234;203;376;153
FRAEX38873_v2_000401250;0;0;0;0;0;0
FRAEX38873_v2_000401260;0;0;0;0;0;0
FRAEX38873_v2_000401270;1;0;0;0;0;0
FRAEX38873_v2_000401280;0;0;0;0;0;0
FRAEX38873_v2_000401290;0;0;1;0;1;0
FRAEX38873_v2_000353960;34;55;42;110;68;234
FRAEX38873_v2_000353970;1680;1836;1419;1515;1759;1498
FRAEX38873_v2_000353980;14;33;52;127;22;101
FRAEX38873_v2_000353990;1487;730;556;1516;1058;1325
FRAEX38873_v2_000354000;0;0;0;0;0;0
FRAEX38873_v2_000354010;143;190;149;144;178;175
FRAEX38873_v2_000354020;1663;1554;1377;2866;2981;3424
FRAEX38873_v2_000354030;446;4319;2029;615;216;384
FRAEX38873_v2_000354040;497;772;635;734;829;898
FRAEX38873_v2_000354050;0;0;0;0;0;0
FRAEX38873_v2_000354060;25;32;26;75;190;71
FRAEX38873_v2_000354070;0;0;0;0;0;0
FRAEX38873_v2_000354080;72;175;296;85;28;87
FRAEX38873_v2_000354090;0;5;0;30;14;33
FRAEX38873_v2_000354100;991;1248;814;1113;1689;1381
FRAEX38873_v2_000354110;212;172;157;85;118;104
FRAEX38873_v2_000354120;0;1;0;0;0;1
FRAEX38873_v2_000354130;551;533;416;1246;397;912
FRAEX38873_v2_000354140;29;65;84;113;87;99
FRAEX38873_v2_000401300;11;31;12;20;22;8
FRAEX38873_v2_000401310;22;47;21;14;11;8
FRAEX38873_v2_000401320;22;29;10;8;16;9
FRAEX38873_v2_000401330;2;10;1;3;5;7
FRAEX38873_v2_000380270;59;221;131;341;24;7
FRAEX38873_v2_000380280;0;0;0;0;0;0
FRAEX38873_v2_000380290;4;15;29;37;6;0
FRAEX38873_v2_000380300;18;6;6;130;105;47
FRAEX38873_v2_000380310;37;64;34;65;100;60
FRAEX38873_v2_000380320;6;18;9;37;34;38
FRAEX38873_v2_000380330;5163;5620;5861;4756;5719;4243
FRAEX38873_v2_000380340;0;0;0;0;0;0
FRAEX38873_v2_000380350;162;193;185;202;75;106
FRAEX38873_v2_000380360;4941;4503;5572;2254;1920;1797
FRAEX38873_v2_000380370;521;475;262;361;638;572
FRAEX38873_v2_000380380;687;597;1024;717;771;622
FRAEX38873_v2_000380390;4707;4479;3600;2924;4113;3594
FRAEX38873_v2_000380400;3899;6786;7372;13973;23850;15244
FRAEX38873_v2_000380410;68;111;58;128;149;251
FRAEX38873_v2_000380430;2858;2224;2520;1209;1477;1438
FRAEX38873_v2_000380450;0;0;0;0;0;0
FRAEX38873_v2_000000910;316;429;277;463;428;417
FRAEX38873_v2_000000920;828;5;606;5;19;73
FRAEX38873_v2_000000930;1334;877;1185;1179;1130;1592
FRAEX38873_v2_000000940;3;41;7;6;21;56
FRAEX38873_v2_000000950;7655;7723;9318;8992;9285;10316
FRAEX38873_v2_000000960;0;0;0;0;0;5
FRAEX38873_v2_000000970;3;8;9;0;0;0
FRAEX38873_v2_000000980;344;384;308;566;572;733
FRAEX38873_v2_000000990;0;30;176;65;62;132
FRAEX38873_v2_000001000;0;0;21;0;4;20
FRAEX38873_v2_000001010;693;720;673;641;764;666
FRAEX38873_v2_000001020;81;184;236;86;88;60
FRAEX38873_v2_000001030;0;6;26;61;102;22
FRAEX38873_v2_000001040;89;112;212;102;94;107
FRAEX38873_v2_000001050;0;0;0;0;0;0
FRAEX38873_v2_000001060;0;0;0;1;3;9
FRAEX38873_v2_000001070;464;355;266;114;111;179
FRAEX38873_v2_000001080;100;104;51;77;31;90
FRAEX38873_v2_000001090;603;637;686;1204;1937;821
FRAEX38873_v2_000001100;185;174;152;214;254;477
FRAEX38873_v2_000013420;12;31;25;21;44;49
FRAEX38873_v2_000013430;2;9;10;19;17;9
FRAEX38873_v2_000013440;974;1141;924;872;1018;977
FRAEX38873_v2_000013450;2053;1473;1594;1250;1339;1407
FRAEX38873_v2_000013460;0;25;10;674;114;176
FRAEX38873_v2_000013470;1102;1025;934;1339;1254;1297
FRAEX38873_v2_000013480;31;52;69;48;47;37
FRAEX38873_v2_000013490;38;20;54;12;7;32
FRAEX38873_v2_000013520;1748;1196;1310;644;917;913
FRAEX38873_v2_000013530;193;296;277;371;408;337
FRAEX38873_v2_000013540;46;132;56;32;82;39
FRAEX38873_v2_000013550;102;54;78;37;21;25
FRAEX38873_v2_000013560;0;0;0;0;0;0
FRAEX38873_v2_000013570;0;0;0;7;3;0
FRAEX38873_v2_000013580;1840;2065;1660;2079;1606;1825
FRAEX38873_v2_000023060;57;40;25;231;145;198
FRAEX38873_v2_000023070;432;27;377;99;35;48
FRAEX38873_v2_000023080;2106;1985;2990;5391;7408;3458
FRAEX38873_v2_000023090;91;2;37;1;39;99
FRAEX38873_v2_000023100;0;6;0;1230;673;1
FRAEX38873_v2_000023110;539;5359;9921;1721;113;415
FRAEX38873_v2_000023120;909;1054;955;769;1125;899
FRAEX38873_v2_000023130;2090;2017;2479;8140;5922;6797
FRAEX38873_v2_000023140;268;173;196;447;147;290
FRAEX38873_v2_000023150;0;0;0;0;0;0
FRAEX38873_v2_000023160;643;719;670;1119;1174;1150
FRAEX38873_v2_000023170;57;17;20;0;0;0
FRAEX38873_v2_000023180;0;0;0;0;0;0
FRAEX38873_v2_000023190;7143;5054;4180;2398;3121;2480
FRAEX38873_v2_000023200;2067;1729;1750;2036;2806;2599
FRAEX38873_v2_000023210;0;0;0;0;0;0
FRAEX38873_v2_000032170;31;129;85;277;175;457
FRAEX38873_v2_000032180;1;6;11;33;38;45
FRAEX38873_v2_000032190;702;825;731;621;674;544
FRAEX38873_v2_000032200;427;409;522;382;347;268
FRAEX38873_v2_000032210;198;80;209;223;44;121
FRAEX38873_v2_000032220;319;180;429;382;97;194
FRAEX38873_v2_000032230;0;0;0;0;0;0
