Geneid;sorted.step1.CH100_B8_C_hisat2.bam;sorted.step1.CH16_B8_C_hisat2.bam;sorted.step1.CH44_B8_C_hisat2.bam;sorted.step1.CH13_B8_EAB_hisat2.bam;sorted.step1.CH41_B8_EAB_hisat2.bam;sorted.step1.CH97_B8_EAB_hisat2.bam
FRAEX38873_v2_000000010;376;364;547;495;437;548
FRAEX38873_v2_000000020;469;364;382;720;941;655
FRAEX38873_v2_000000030;215;419;402;1286;993;1175
FRAEX38873_v2_000000040;50;65;141;81;155;36
FRAEX38873_v2_000000050;424;395;618;880;656;853
FRAEX38873_v2_000000060;241;333;455;553;579;602
FRAEX38873_v2_000000070;431;636;712;447;506;531
FRAEX38873_v2_000000080;1638;1432;1516;827;997;1389
FRAEX38873_v2_000000090;290;186;186;300;403;316
FRAEX38873_v2_000000100;639;772;665;383;585;465
FRAEX38873_v2_000000110;3261;1904;1666;760;1307;992
FRAEX38873_v2_000000120;350;307;373;497;336;505
FRAEX38873_v2_000000130;0;0;0;0;0;0
FRAEX38873_v2_000000140;57;4;29;18;6;7
FRAEX38873_v2_000000150;138;36;32;7;7;21
FRAEX38873_v2_000000160;16;18;54;11;9;24
FRAEX38873_v2_000000170;0;0;0;0;0;0
FRAEX38873_v2_000000180;1;0;5;0;2;2
FRAEX38873_v2_000000190;0;0;0;0;0;0
FRAEX38873_v2_000000200;15;0;0;0;0;0
FRAEX38873_v2_000000210;0;0;0;0;0;0
FRAEX38873_v2_000000220;2;0;0;0;0;0
FRAEX38873_v2_000000230;0;7;0;0;0;0
FRAEX38873_v2_000000240;448;846;1694;716;751;856
FRAEX38873_v2_000000250;481;607;729;983;738;797
FRAEX38873_v2_000000260;0;0;0;0;0;0
FRAEX38873_v2_000000270;0;0;0;9;0;0
FRAEX38873_v2_000000280;2383;2419;3213;3947;3740;3973
FRAEX38873_v2_000000290;0;1;0;80;4;130
FRAEX38873_v2_000000300;103;259;248;442;73;328
FRAEX38873_v2_000000310;2608;2308;2927;2873;3262;3011
FRAEX38873_v2_000000320;4683;5029;4635;2135;3760;2828
FRAEX38873_v2_000000330;0;7;1;244;105;301
FRAEX38873_v2_000000340;476;494;622;718;453;887
FRAEX38873_v2_000000350;0;12;18;7;18;28
FRAEX38873_v2_000000360;0;0;0;0;0;0
FRAEX38873_v2_000000370;2606;3119;5095;139;239;288
FRAEX38873_v2_000000380;0;0;0;0;0;0
FRAEX38873_v2_000000390;0;8;0;0;0;0
FRAEX38873_v2_000000400;0;0;0;0;0;0
FRAEX38873_v2_000000410;1359;1270;1246;998;1195;1155
FRAEX38873_v2_000000420;263;352;454;1161;416;844
FRAEX38873_v2_000000430;156;164;155;301;233;273
FRAEX38873_v2_000000440;258;405;526;46;24;75
FRAEX38873_v2_000000450;0;0;0;0;0;0
FRAEX38873_v2_000000460;85;53;87;191;325;90
FRAEX38873_v2_000000470;14;138;164;111;240;93
FRAEX38873_v2_000000480;84;296;586;71;24;45
FRAEX38873_v2_000400370;701;176;187;23;109;99
FRAEX38873_v2_000400380;97;23;36;3;4;36
FRAEX38873_v2_000400390;62;25;30;16;13;18
FRAEX38873_v2_000400400;37;13;28;10;9;38
FRAEX38873_v2_000400410;94;10;75;28;29;40
FRAEX38873_v2_000400420;2;3;11;0;1;4
FRAEX38873_v2_000400430;122;72;199;73;138;110
FRAEX38873_v2_000400440;5;16;66;25;59;65
FRAEX38873_v2_000400450;0;1;0;0;0;5
FRAEX38873_v2_000400460;46;11;29;12;9;12
FRAEX38873_v2_000400470;47;13;19;21;24;24
FRAEX38873_v2_000400480;13;0;7;8;17;8
FRAEX38873_v2_000400490;26;10;16;20;20;14
FRAEX38873_v2_000400500;0;0;1;0;0;0
FRAEX38873_v2_000400510;57;24;37;3;43;24
FRAEX38873_v2_000400520;484;106;234;90;317;150
FRAEX38873_v2_000400530;69;22;62;26;35;71
FRAEX38873_v2_000400540;22;19;21;2;2;9
FRAEX38873_v2_000400550;64;9;20;22;12;14
FRAEX38873_v2_000400560;0;0;0;0;0;0
FRAEX38873_v2_000400570;389;158;249;248;399;471
FRAEX38873_v2_000400580;0;0;0;0;0;0
FRAEX38873_v2_000400590;0;0;0;0;0;0
FRAEX38873_v2_000400600;0;0;0;0;0;0
FRAEX38873_v2_000400610;0;0;0;0;0;0
FRAEX38873_v2_000400620;0;0;0;0;0;0
FRAEX38873_v2_000400630;0;0;0;0;0;0
FRAEX38873_v2_000400640;0;0;0;0;0;0
FRAEX38873_v2_000400650;0;0;0;0;0;0
FRAEX38873_v2_000400660;0;0;0;0;0;0
FRAEX38873_v2_000400670;8;0;2;0;1;3
FRAEX38873_v2_000400680;0;0;0;0;0;0
FRAEX38873_v2_000400690;0;0;0;0;0;0
FRAEX38873_v2_000400700;15;4;3;2;0;9
FRAEX38873_v2_000400710;0;0;1;0;1;0
FRAEX38873_v2_000400720;30;10;14;12;24;19
FRAEX38873_v2_000400730;0;0;0;0;0;0
FRAEX38873_v2_000400740;0;0;0;0;0;0
FRAEX38873_v2_000400750;0;0;0;0;0;0
FRAEX38873_v2_000400760;0;0;0;0;0;0
FRAEX38873_v2_000400770;0;0;0;0;0;0
FRAEX38873_v2_000400780;0;1;0;0;0;0
FRAEX38873_v2_000400790;0;0;0;0;0;0
FRAEX38873_v2_000400800;32;5;2;12;38;12
FRAEX38873_v2_000000490;4;14;19;2;6;19
FRAEX38873_v2_000000500;5;1;2;0;0;4
FRAEX38873_v2_000000510;1;1;3;0;0;0
FRAEX38873_v2_000000520;54;122;124;62;30;72
FRAEX38873_v2_000000530;111;86;137;53;43;46
FRAEX38873_v2_000000540;1067;1017;1206;904;817;1002
FRAEX38873_v2_000000550;0;0;0;1;0;0
FRAEX38873_v2_000000560;392;584;648;1466;1363;1831
FRAEX38873_v2_000000570;0;0;0;0;5;0
FRAEX38873_v2_000000580;0;0;0;5;0;5
FRAEX38873_v2_000000590;0;152;61;68;136;46
FRAEX38873_v2_000000600;870;1261;1348;1444;2294;1846
FRAEX38873_v2_000000610;69;131;179;173;188;143
FRAEX38873_v2_000000630;0;0;2;26;6;14
FRAEX38873_v2_000000640;804;699;939;944;691;863
FRAEX38873_v2_000000650;468;690;758;638;694;696
FRAEX38873_v2_000000660;8656;11966;8954;214;823;183
FRAEX38873_v2_000000670;637;516;647;752;707;763
FRAEX38873_v2_000000680;0;0;0;0;0;0
FRAEX38873_v2_000000690;693;586;729;1930;969;1049
FRAEX38873_v2_000000700;43;15;34;31;45;43
FRAEX38873_v2_000000720;0;0;0;9;2;1
FRAEX38873_v2_000000730;0;0;1;49;110;62
FRAEX38873_v2_000000740;383;280;250;255;201;258
FRAEX38873_v2_000000760;7;3;9;13;8;45
FRAEX38873_v2_000000770;54;238;13;196;42;209
FRAEX38873_v2_000000780;288;46;195;1902;912;2326
FRAEX38873_v2_000000790;268;434;306;628;541;351
FRAEX38873_v2_000000800;38;112;81;32;27;61
FRAEX38873_v2_000000810;12;28;19;23;24;14
FRAEX38873_v2_000000820;529;1372;1042;389;761;320
FRAEX38873_v2_000000830;0;0;1;0;0;1
FRAEX38873_v2_000000850;199;175;187;210;188;168
FRAEX38873_v2_000000860;943;1094;1360;2302;1809;2243
FRAEX38873_v2_000000870;6990;6115;7046;5021;5838;6414
FRAEX38873_v2_000000880;406;525;710;291;300;416
FRAEX38873_v2_000000890;14;69;12;5;4;11
FRAEX38873_v2_000000900;324;356;423;1146;823;1081
FRAEX38873_v2_000400810;130;51;60;24;82;88
FRAEX38873_v2_000400820;65;37;35;12;8;4
FRAEX38873_v2_000400830;33;9;13;15;43;7
FRAEX38873_v2_000400840;0;0;0;0;0;0
FRAEX38873_v2_000400850;199;53;105;49;153;79
FRAEX38873_v2_000400860;0;6;0;0;3;1
FRAEX38873_v2_000400870;7;0;0;0;0;0
FRAEX38873_v2_000400880;524;101;227;240;503;207
FRAEX38873_v2_000400890;2412;584;862;1193;2708;785
FRAEX38873_v2_000400900;2169;530;1003;1211;3056;852
FRAEX38873_v2_000400910;114;58;38;37;113;46
FRAEX38873_v2_000400920;42;2;20;6;27;8
FRAEX38873_v2_000401030;0;0;1;4;0;0
FRAEX38873_v2_000401040;82;11;17;10;15;14
FRAEX38873_v2_000401050;119;116;88;32;56;29
FRAEX38873_v2_000401060;136;27;186;39;67;57
FRAEX38873_v2_000090760;8;6;11;454;269;689
FRAEX38873_v2_000090770;0;0;0;0;0;0
FRAEX38873_v2_000090780;0;0;2;250;105;579
FRAEX38873_v2_000090790;13;5;4;654;342;939
FRAEX38873_v2_000090800;0;4;0;88;14;279
FRAEX38873_v2_000090810;0;0;0;2;113;12
FRAEX38873_v2_000090820;0;6;8;0;24;71
FRAEX38873_v2_000090830;1484;919;913;454;721;609
FRAEX38873_v2_000090840;36;22;58;66;123;57
FRAEX38873_v2_000090850;74;34;64;403;270;431
FRAEX38873_v2_000090860;0;0;2;215;44;505
FRAEX38873_v2_000090870;758;2037;2685;4195;3596;5676
FRAEX38873_v2_000090880;111;184;157;197;256;247
FRAEX38873_v2_000090890;38;46;81;159;153;102
FRAEX38873_v2_000090900;274;286;256;240;364;229
FRAEX38873_v2_000162390;698;810;858;2519;2087;2852
FRAEX38873_v2_000162400;383;483;686;560;434;638
FRAEX38873_v2_000162410;1175;1556;1562;3734;2791;3398
FRAEX38873_v2_000162420;88;149;114;138;127;125
FRAEX38873_v2_000162430;485;455;645;539;809;436
FRAEX38873_v2_000162440;51;72;123;160;96;122
FRAEX38873_v2_000162450;0;0;0;5;0;5
FRAEX38873_v2_000162460;0;0;0;171;47;357
FRAEX38873_v2_000162470;1241;1036;1773;421;713;698
FRAEX38873_v2_000162480;0;0;0;0;2;0
FRAEX38873_v2_000162490;22;60;72;0;4;4
FRAEX38873_v2_000162500;189;338;708;102;185;662
FRAEX38873_v2_000162510;0;0;0;42;0;314
FRAEX38873_v2_000162520;5;34;97;163;28;1200
FRAEX38873_v2_000162530;478;496;851;1425;1221;1503
FRAEX38873_v2_000162540;11;19;21;85;36;137
FRAEX38873_v2_000162550;16;32;30;4;17;69
FRAEX38873_v2_000162560;1512;1980;1350;540;656;821
FRAEX38873_v2_000162570;252;346;222;315;215;280
FRAEX38873_v2_000162580;61;70;200;1270;1952;1870
FRAEX38873_v2_000162590;3274;362;314;1513;731;805
FRAEX38873_v2_000162600;72;35;205;16;23;67
FRAEX38873_v2_000162610;0;5;2;20;15;43
FRAEX38873_v2_000162620;118;106;94;153;94;120
FRAEX38873_v2_000162630;531;617;697;2193;2094;1890
FRAEX38873_v2_000162640;277;125;97;246;57;46
FRAEX38873_v2_000162650;9155;13973;14097;3839;4786;6181
FRAEX38873_v2_000162660;55;22;34;101;64;112
FRAEX38873_v2_000162670;428;826;1156;1315;1038;1427
FRAEX38873_v2_000162680;980;959;1177;500;692;724
FRAEX38873_v2_000162690;0;5;0;0;0;0
FRAEX38873_v2_000162700;35;29;27;136;292;68
FRAEX38873_v2_000162710;100;49;33;270;387;193
FRAEX38873_v2_000217040;1;2;3;4;14;5
FRAEX38873_v2_000217050;56;402;626;138;133;381
FRAEX38873_v2_000217060;0;0;0;0;1;0
FRAEX38873_v2_000217070;111;178;155;223;298;180
FRAEX38873_v2_000217080;0;0;3;0;0;0
FRAEX38873_v2_000217090;3025;2112;1746;1533;1544;2506
FRAEX38873_v2_000217100;41;58;73;143;102;95
FRAEX38873_v2_000217110;44;18;54;395;335;516
FRAEX38873_v2_000217120;407;245;318;443;354;423
FRAEX38873_v2_000217130;326;280;507;767;711;1108
FRAEX38873_v2_000217140;438;363;755;359;370;402
FRAEX38873_v2_000217150;735;538;610;370;596;374
FRAEX38873_v2_000217160;458;280;226;158;198;236
FRAEX38873_v2_000217170;41;33;35;48;41;30
FRAEX38873_v2_000217180;22;29;60;48;52;91
FRAEX38873_v2_000217190;738;620;766;988;773;1010
FRAEX38873_v2_000217200;0;0;3;0;0;3
FRAEX38873_v2_000217210;935;730;1097;894;748;980
FRAEX38873_v2_000217220;198;30;49;355;140;196
FRAEX38873_v2_000217230;7;6;36;20;26;12
FRAEX38873_v2_000401130;5;0;0;4;4;0
FRAEX38873_v2_000401140;1;2;0;0;0;2
FRAEX38873_v2_000401150;236;110;172;95;161;81
FRAEX38873_v2_000401160;425;170;240;115;189;99
FRAEX38873_v2_000401170;6;0;14;3;18;0
FRAEX38873_v2_000401180;0;0;2;0;0;0
FRAEX38873_v2_000401190;174;16;31;29;29;33
FRAEX38873_v2_000401200;309;132;211;136;300;177
FRAEX38873_v2_000401210;1;0;0;0;0;0
FRAEX38873_v2_000401220;6;1;0;3;0;0
FRAEX38873_v2_000259040;113;171;184;375;376;329
FRAEX38873_v2_000259050;0;0;0;0;0;0
FRAEX38873_v2_000259060;111;330;612;113;191;331
FRAEX38873_v2_000259070;0;0;0;0;0;0
FRAEX38873_v2_000259080;0;0;0;0;0;0
FRAEX38873_v2_000259090;33;48;59;36;0;0
